
=== Logger initialized at Thu May  7 11:31:28 2026
[2026-05-07 11:35:43.971] [DEBUG] [WORLD ] Loaded chunk -2,-1 (slot 9)
[2026-05-07 11:35:43.972] [DEBUG] [WORLD ] Loaded chunk -2,0 (slot 10)
[2026-05-07 11:35:43.974] [DEBUG] [WORLD ] Loaded chunk -2,1 (slot 11)
[2026-05-07 11:35:43.976] [DEBUG] [WORLD ] Loaded chunk -2,2 (slot 12)
[2026-05-07 11:35:43.977] [DEBUG] [WORLD ] Loaded chunk -2,3 (slot 13)
[2026-05-07 11:35:43.979] [DEBUG] [WORLD ] Loaded chunk -1,-3 (slot 14)
[2026-05-07 11:35:43.981] [DEBUG] [WORLD ] Loaded chunk -1,-2 (slot 15)
[2026-05-07 11:35:43.983] [DEBUG] [WORLD ] Loaded chunk -1,-1 (slot 16)
[2026-05-07 11:35:43.984] [DEBUG] [WORLD ] Loaded chunk -1,0 (slot 17)
[2026-05-07 11:35:43.986] [DEBUG] [WORLD ] Loaded chunk -1,1 (slot 18)
[2026-05-07 11:35:43.988] [DEBUG] [WORLD ] Loaded chunk -1,2 (slot 19)
[2026-05-07 11:35:43.990] [DEBUG] [WORLD ] Loaded chunk -1,3 (slot 20)
[2026-05-07 11:35:43.991] [DEBUG] [WORLD ] Loaded chunk 0,-3 (slot 21)
[2026-05-07 11:35:43.993] [DEBUG] [WORLD ] Loaded chunk 0,-2 (slot 22)
[2026-05-07 11:35:43.994] [DEBUG] [WORLD ] Loaded chunk 0,-1 (slot 23)
[2026-05-07 11:35:43.998] [DEBUG] [WORLD ] Loaded chunk 0,0 (slot 24)
[2026-05-07 11:35:44.000] [DEBUG] [WORLD ] Loaded chunk 0,1 (slot 25)
[2026-05-07 11:35:44.001] [DEBUG] [WORLD ] Loaded chunk 0,2 (slot 26)
[2026-05-07 11:35:44.003] [DEBUG] [WORLD ] Loaded chunk 0,3 (slot 27)
[2026-05-07 11:35:44.005] [DEBUG] [WORLD ] Loaded chunk 1,-3 (slot 28)
[2026-05-07 11:35:44.007] [DEBUG] [WORLD ] Loaded chunk 1,-2 (slot 29)
[2026-05-07 11:35:44.008] [DEBUG] [WORLD ] Loaded chunk 1,-1 (slot 30)
[2026-05-07 11:35:44.010] [DEBUG] [WORLD ] Loaded chunk 1,0 (slot 31)
[2026-05-07 11:35:44.012] [DEBUG] [WORLD ] Loaded chunk 1,1 (slot 32)
[2026-05-07 11:35:44.014] [DEBUG] [WORLD ] Loaded chunk 1,2 (slot 33)
[2026-05-07 11:35:44.016] [DEBUG] [WORLD ] Loaded chunk 1,3 (slot 34)
[2026-05-07 11:35:44.017] [DEBUG] [WORLD ] Loaded chunk 2,-3 (slot 35)
[2026-05-07 11:35:44.019] [DEBUG] [WORLD ] Loaded chunk 2,-2 (slot 36)
[2026-05-07 11:35:44.021] [DEBUG] [WORLD ] Loaded chunk 2,-1 (slot 37)
[2026-05-07 11:35:44.023] [DEBUG] [WORLD ] Loaded chunk 2,0 (slot 38)
[2026-05-07 11:35:44.025] [DEBUG] [WORLD ] Loaded chunk 2,1 (slot 39)
[2026-05-07 11:35:44.026] [DEBUG] [WORLD ] Loaded chunk 2,2 (slot 40)
[2026-05-07 11:35:44.028] [DEBUG] [WORLD ] Loaded chunk 2,3 (slot 41)
[2026-05-07 11:35:44.030] [DEBUG] [WORLD ] Loaded chunk 3,-3 (slot 42)
[2026-05-07 11:35:44.032] [DEBUG] [WORLD ] Loaded chunk 3,-2 (slot 43)
[2026-05-07 11:35:44.033] [DEBUG] [WORLD ] Loaded chunk 3,-1 (slot 44)
[2026-05-07 11:35:44.035] [DEBUG] [WORLD ] Loaded chunk 3,0 (slot 45)
[2026-05-07 11:35:44.037] [DEBUG] [WORLD ] Loaded chunk 3,1 (slot 46)
[2026-05-07 11:35:44.038] [DEBUG] [WORLD ] Loaded chunk 3,2 (slot 47)
[2026-05-07 11:35:44.040] [DEBUG] [WORLD ] Loaded chunk 3,3 (slot 48)
[2026-05-07 11:35:44.040] [INFO ] [PLATFORM] Spawn position set to y=11.60 (ground at y=8)
[2026-05-07 11:35:44.040] [INFO ] [UI    ] UI initialized successfully
[2026-05-07 11:35:44.043] [DEBUG] [PLATFORM] XGrabPointer succeeded
[2026-05-07 11:35:44.104] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.51,8.00
[2026-05-07 11:35:44.105] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.51,8.00
[2026-05-07 11:35:44.106] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.50,8.00
[2026-05-07 11:35:44.107] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.50,8.00
[2026-05-07 11:35:44.107] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.50,8.00
[2026-05-07 11:35:44.113] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.49,8.00
[2026-05-07 11:35:44.131] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.45,8.00
[2026-05-07 11:35:44.148] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.41,8.00
[2026-05-07 11:35:44.164] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.36,8.00
[2026-05-07 11:35:44.183] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.29,8.00
[2026-05-07 11:35:44.198] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.23,8.00
